tweetId,tweet,favorites
1658983679111094272,FBI has identified Zodiac Killer as Air Force veteran Gary Francis Poste https://t.co/oduZ028RSY https://t.co/sAnlzIGicE,441
1629265093069524992,What does Kyle Rittenhouse's diet consist of? 👀 https://t.co/HluR3lByJ7,517
1598466496547942400,Let's be clear: the President has the legal authority to cancel student debt.,27155
1651505815579430912,Egypt. https://t.co/pkrt5HkZ0O,900
1646900613865955328,"Here is Ron DeSantis' comms director Erin Perrine 
touting  President Trump's accomplishments just a couple of years ago. 

She'll prolly go cry in a corner if this ever gets out. 

Be sure to share it.  

#Trump2024 https://t.co/TbvthYCJHM",698
1599566932503826432,"Bro, why does it seem like so many more people are dying at such a Young Age than ever before? The question is going to have to be asked at some point.",120
1605957711631249408,"Police in the UK arrest a woman for silently praying: 

""Are you praying?"" 

""I might be praying in my head."" https://t.co/7Q8UnKmfa1",51623
1626770495650537472,"Twitter is going to disable 2FA in a month unless you pay for Twitter Blue. Every product announcement from Twitter 2.0 sounds like a drunk joke or an intern’s bad idea that shipped because everyone else had been fired.

Real 🤡 💩 

https://t.co/vbHP71rcKy",1815
1576736389999497216,"BREAKING: In the Brazil election, far-right fascist Bolsonaro just got DESTROYED, losing by over 5 million votes to liberal Lula. 

Who needs to hear this right now?",61571
1673706761344241664,"Aparentemente, minha irmã acaba de ser vítima do golpe do gás no @Uber_Brasil em Brasília. Começou a sentir falta de ar, janelas travadas e o motorista disse que não podia abrir pra não sujar o carro. Ela abriu a porta e conseguiu sair meio tonta ainda. Ele virou a cara e saiu.",3939
1689868323725742080,"Lekker vakantie vieren in Oekraïne. U weet wel, dat land waar die vreselijke oorlog aan de gang is. Voor de 89.000 Oekraïense “vluchtelingen” die vorig jaar om die reden naar ons land kwamen, wacht een gespreid bedje - op onze kosten. We worden genaaid. 
 https://t.co/tLQOWc2pax",3195
1615799112708026368,"According to official jargon, this object in the US military arsenal is also ""Not A Tank,"" because something something something. Hence: official military jargon isn't about describing things for maximum clarity, it's about obscuring things in a web of useless faux-insider lingo https://t.co/zp03s8Ekik",1492
1623855078414372864,"According  to WaPo, Ukraine’s rocket campaign is ""reliant on U.S. precision targeting"" So the U.S. is now targeting missiles directly at Russia. Are we even trying to call this a proxy war still, or just war?",2332
1630584722253312000,@tpwkfitf28 @fitfsunflower28 ايش هذا تعبو انفسهم الصراحه 🤨,0
1635090974950166528,RT @SouReferencias: Opinem https://t.co/GVR83uzNKD,0
1597277261732147200,"RT @SSSTShirdi: *!! ॐ साई राम!!*
*श्री साईबाबा संस्थान विश्वस्त व्यवस्था,शिर्डी*
*!! ॐ Sai Ram !!*
*Shri Saibaba Sansthan Trust, Shirdi*
≈≈…",0
1728830153193816320,More proof Joe Biden did NOT receive 81.5 million votes in 2020. https://t.co/nxIUikSrJn,7888
1681985154590425088,"Bon j’ai l’impression que l’info est pas arrivée à tout le monde alors :

LES COMPTES TWITTER BLUE GAGNENT DE L’ARGENT QUAND VOUS CITEZ OU RÉPONDEZ À LEURS TWEETS.

ILS FONT EXPRÈS DE VOUS PROVOQUER AVEC DES PROPOS CHOQUANTS.

BLOQUEZ-LES. ARRÊTEZ DE LES RÉMUNÉRER.",12177
1583197344434360320,Russia warns that there are no communication channels between Russia and the United States to reduce escalation.,1715
1651399403826020352,I'm glad that I had the chance to set the record straight today. https://t.co/Tj57ty3Hv5,337
1656610406826143744,Women empowerment https://t.co/GdswLSoB14,376
1678383846641868800,"Many misunderstand or misrepresent my concern about this clip. 

Isnt about collusion charge, but the absurd “Russia hacked election” narrative- specifically the hacking of DNC 

This clip suggests Ron subscribes to this narrative and it is fair to ask for clarification",748
1770275960509673472,This man is buying birds just to set them free..🐦❤️ https://t.co/QiAeD0YbPf,247360
1583818827191955456,My one contribution to Taylor Swift discourse is that she ran a contest to give a school a private concert and 4chan trolls helped a deaf school win and Swift refused to perform there even though a lot of deaf kids have enough hearing to like music.,2442
1608469486935367680,"Fun fact:

George Floyd died from a drug overdose.

The cop was just a side effect.",10533
1663522053478137856,Ron DeSantis and Joe Biden have the same position on Ukraine. I repeat: Ron DeSantis and Joe Biden have the same position on Ukraine,3399
1542486110881910784,"They want checkpoints 

at state borders

for women

in America",73843
1661419624863244288,"La última ""gracia"" de Roger Waters: en su concierto de ayer en Berlín se vistió de nazi. Así es, se puso el uniforme de las SS.

Su estándar moral es más que dudoso, pues apoya tmbn la invasión rusa a Ucrania y defiende la ""democracia"" de Venezuela entre otras dictaduras.

En https://t.co/LRLzB80ivJ",2503
843833012991262720,Thanks @SHAQ! #flatearth #nocurvature https://t.co/l3Tjh70N3Y,289
1671652104002326528,"BREAKING: U.S. military admits to altering the weather, according to documents.",13726
1698819727597175040,https://t.co/UmebmU3eQZ,954
1649474187445129216,I can’t stop laughing https://t.co/3zh885FVmg,54515
1578759243821633536,"The fact that CHESS is divided into gendered leagues should tell you something about the real history and reasons behind the gender division of sports.

Men are scared of being made to look inferior to women.",83469
1646228065071292416,"NPR literally said “Federal funding is essential to public radio” on their own website (now taken down). 

What hypocrites! https://t.co/kYAXW0zpyl",161331
1758559974324580608,"A statue of Yasuke, an African slave, who arrived in Japan in 1579 and became the first black Samurai. https://t.co/tR1qTrwRlQ",216901
1688722867624808448,"多くの日本人が意識すべき事実
歴代天皇は広島・長崎の平和記念式典に出席したことがないらしい

なんで？ https://t.co/d8tGRc7JGO",3453
1688412274405588992,"The folding chair we commonly use today is indebted to the innovative mind of Nathaniel Alexander, an African American inventor. In 1911, Alexander secured a patent for his groundbreaking design, which will forever be remembered by its use this weekend on the ship pier in https://t.co/jfbj82hpb4",44092
1679098426590642176,Biólogo que tinha laudo de dor crônica para poder plantar maconha postava fotos fazendo ioga de cabeça para baixo https://t.co/r2o4kFYCPK,3015
1599559419330633728,"Steph Curry just casually making 5 full court shots in a row

WTF IS THIS WITCHCRAFT @PatBevPod https://t.co/EoD4QMIptY",101107
1600873302443970560,"On Elon Musk's Twitter:

- Slurs against Black people have tripled
- Slurs against women are up 33%
- Slurs against Jewish people are up 61%
- And slurs against gay men are up 58%

These numbers are abysmal – and unacceptable.

Today, @RepMarkTakano and I are demanding action.",63978
1602109844429107200,"I never in my wildest imagination, ever thought I'd see a modern-day example of Sodom and Gamorrah! Honestly, this makes Sodom and Gomorrah look not so bad! The evil in America is out of control! And we wonder why so many countries hate us! We are the EPITOME of hypocrisy! https://t.co/zTHH7vIw7O",217
1633176820072816640,"turns out the disabled Twitter employee who Elon publicly ridiculed for asking about the status of his employment sold his company to Twitter for ~$100 million, and the deal was structured in a way which requires payment for the entire deal upon his termination—whoops 🤣 https://t.co/JxUVPZThtn",69156
1648712568884559872,"Good for Michael Jordan‼️

Mike ends his partnership with Nike over the man child who likes to pretend he’s a female. 

I truly hope Nike, AB, &amp; every other sponsorship that has signed the man child looses a shit ton of money or goes out of business. 

#TranswomanAreConMen https://t.co/1jwCBlsw0n",9109
1627340422828765184,"They say;
When an astronomy enthusiast was observing the moon, he happened to photograph a giant UFO landing on the opposite side of the moon. 

https://t.co/OGdJ4Tup4w",8459
1615128590043222016,"RT @WeAreBigGuys: Ryan Jensen arriving to the stadium wearing a SpongeBob “my leg” shirt 😂🤣😂

Jensen is set to make his first start of the…",0
1644777131694489600,"El tiempo de traslado del centro de la CDMX al AIFA (55 minutos) es menor al de capitales mundiales como Washington, Londres, Tokio y París a sus respectivos aeropuertos internacionales.

#AeropuertoInternacionalFelipeÁngeles #FelipeÁngeles #NLU #VuelaAIFA #TiemposdeTraslado https://t.co/q5ImsBCVia",1939
1636373503455666176,"Ten thousand years ago, sea levels rose rapidly, with rates exceeding 15 meters per millennium. This rate is 25-75 times faster than the IPCC's projected 20-60 centimeter rise for the 21st century.

So much about their claim that we can control the climate. It's a cult! https://t.co/udj52UMK4y",2725
1550969674778775552,"If Monkeypox is a sexually transmitted disease, why are kids getting it? https://t.co/mvgSlxZ0Pp",33984
1592188402317037568,Democrats manufactured an energy crisis by shutting down the Keystone Pipeline and now Americans are paying the price to heat their homes this winter.,4676
1588928097218273280,Journalist and former Texas Monthly editor Christopher Hooks @cd_hooks has had his Twitter account restricted after posting this tweet about @elonmusk Elon Musk (the retweet function is disabled for the tweet as well) https://t.co/UWzOQS7DzO,55947
1686548661969293312,"VIVEK RISES:

""Donald Trump isn’t the cause of what happened on Jan 6. The real cause was systematic &amp; pervasive censorship of citizens in the year leading up to it. If you tell people they can’t speak, that’s when they scream."" https://t.co/KS3VcFh58s",123
1688198292314734592,Learning that menopause is specific to humans - proving our purpose has evolved beyond reproduction - changed my life.,26657
